number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_alpha4,params_alpha5,state
27,1.05,2021-09-02 02:55:14.502125,2021-09-02 02:59:48.352165,0 days 00:04:33.850040,0.008054604187647614,0.019431075565539378,0.003958657471814759,0.9465275876231724,0.0014942459734578037,COMPLETE
28,-0.312,2021-09-02 02:59:48.353028,2021-09-02 03:04:22.355218,0 days 00:04:34.002190,0.0003874369303136546,0.15276114354718823,0.0005862397204191854,0.3147919351165367,0.0001207593266016525,COMPLETE
29,2.156,2021-09-02 03:04:22.356085,2021-09-02 03:08:56.216163,0 days 00:04:33.860078,0.004945204376890195,0.002044344035805766,0.0010619688398329492,0.11396104978004475,0.001060750714307019,COMPLETE
30,1.9,2021-09-02 03:08:56.217054,2021-09-02 03:13:29.793351,0 days 00:04:33.576297,0.005470147896402657,0.003236163654766009,0.00023534565158458788,0.14221382877969216,0.0009728581607009808,COMPLETE
31,1.962,2021-09-02 03:13:29.794227,2021-09-02 03:18:03.746413,0 days 00:04:33.952186,0.004243862177948707,0.002292912723199515,0.00025547348743597335,0.14425996423328957,0.0006702092781962397,COMPLETE
32,1.888,2021-09-02 03:18:03.747302,2021-09-02 03:22:37.443135,0 days 00:04:33.695833,0.00467393602855452,0.002002439785928941,0.00019228029050408088,0.10618217686042827,0.000866075593038289,COMPLETE
33,1.538,2021-09-02 03:22:37.444038,2021-09-02 03:27:11.363282,0 days 00:04:33.919244,0.003926742631173978,0.0020193605992966626,0.00023707311014992325,0.13360633981121048,0.0004493038497647846,COMPLETE
34,0.828,2021-09-02 03:27:11.364180,2021-09-02 03:31:45.299181,0 days 00:04:33.935001,0.0008742820602205562,0.0030229808081630146,0.0001001902998724448,0.02130555244974109,0.001930848501358483,COMPLETE
35,1.116,2021-09-02 03:31:45.300085,2021-09-02 03:36:18.886390,0 days 00:04:33.586305,0.005267197606147593,0.0013614519265750793,0.0005012364965296723,0.0001924507544401823,0.00032496907019602796,COMPLETE
36,1.548,2021-09-02 03:36:18.887273,2021-09-02 03:40:52.686938,0 days 00:04:33.799665,0.003335300873228932,0.0047411141109737235,0.00019066639760346096,0.9578071554947544,0.002419151865240633,COMPLETE
37,2.438,2021-09-02 03:40:52.687826,2021-09-02 03:45:26.219276,0 days 00:04:33.531450,0.0011914897159564424,0.0004667892976646879,0.00043360974027007663,0.1324839692701514,0.0008428742814359439,COMPLETE
38,0.744,2021-09-02 03:45:26.220143,2021-09-02 03:50:00.790515,0 days 00:04:34.570372,0.0009263714446723777,0.0003681059818993744,0.0006264709002416967,0.21304366954103385,0.00568419747129592,COMPLETE
39,1.442,2021-09-02 03:50:00.791389,2021-09-02 03:54:34.504875,0 days 00:04:33.713486,0.0016303633164535746,0.0001849077278934694,0.00036405398289015515,0.006702944425649301,0.00012790062156884462,COMPLETE
40,1.226,2021-09-02 03:54:34.505770,2021-09-02 03:59:07.991000,0 days 00:04:33.485230,0.00042719510697594753,0.000887646835058057,0.0007548899238562606,0.5793615375860572,0.0030008778634464947,COMPLETE
41,2.266,2021-09-02 03:59:07.991885,2021-09-02 04:03:41.978288,0 days 00:04:33.986403,0.002989203310984224,0.001648509299966943,0.00016158603162445148,0.10561131562763285,0.0006798974441666936,COMPLETE
42,2.136,2021-09-02 04:03:41.979171,2021-09-02 04:08:15.540328,0 days 00:04:33.561157,0.002717177099311725,0.0013372606923523081,0.0001394192301410559,0.11480623385979082,0.0005857656960428678,COMPLETE
43,0.694,2021-09-02 04:08:15.541205,2021-09-02 04:12:49.896706,0 days 00:04:34.355501,0.0001169773360022145,0.0004696401326998836,0.00012414005669585836,0.0172498021732334,0.0005755839980962849,COMPLETE
44,1.658,2021-09-02 04:12:49.897610,2021-09-02 04:17:23.987693,0 days 00:04:34.090083,0.0024601972942865365,0.0013233038828201523,0.0004091709618650823,0.03331133100716339,0.00023632381765659476,COMPLETE
45,2.29,2021-09-02 04:17:23.988576,2021-09-02 04:21:58.047629,0 days 00:04:34.059053,0.0014484540559828573,0.008452795517767474,0.00014701998312313143,0.09249448199921684,0.00041506009642915614,COMPLETE
46,1.354,2021-09-02 04:21:58.048541,2021-09-02 04:26:31.534526,0 days 00:04:33.485985,0.0015382859498264396,0.009003656989170479,0.0001528723465436514,0.08250006081219932,0.00020311704787971967,COMPLETE
47,2.168,2021-09-02 04:26:31.535405,2021-09-02 04:31:05.235934,0 days 00:04:33.700529,0.0006382227846797564,0.0005839226468910779,0.00010014444937059408,0.09368428107679835,0.0004838187572912929,COMPLETE
48,-0.622,2021-09-02 04:31:05.236848,2021-09-02 04:35:38.806083,0 days 00:04:33.569235,0.0005281447447111218,0.0002583692083483273,0.21456844563910157,0.212296776848809,0.00034230957250443704,COMPLETE
49,0.796,2021-09-02 04:35:38.806988,2021-09-02 04:40:12.163326,0 days 00:04:33.356338,0.00023310381061458863,0.0006229302733904884,0.0008649573879505694,0.3742685732483418,0.005834856342384979,COMPLETE
