number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_alpha4,params_alpha5,params_beta1,state
25,1.482,2021-09-02 16:38:50.813697,2021-09-02 16:41:32.697865,0 days 00:02:41.884168,4.245172867039634,4.635229785622719,0.18428558318724042,0.004338079858317929,0.046416634789315576,2.9964491866412803,COMPLETE
26,0.998,2021-09-02 16:41:32.700865,2021-09-02 16:44:09.913243,0 days 00:02:37.212378,1.3787372143998389,0.0021724994973728665,1.2780563477951599,0.05496351772144213,0.0021983699735906186,2.839773693440902,COMPLETE
27,1.168,2021-09-02 16:44:09.915954,2021-09-02 16:46:37.862000,0 days 00:02:27.946046,0.2472981041125094,0.9462712556459337,0.0011070646930355214,0.0023521753894132284,0.007936234781127307,2.4060201213010606,COMPLETE
28,1.165,2021-09-02 16:46:37.863000,2021-09-02 16:47:47.426165,0 days 00:01:09.563165,1.3569720069387305,5.243846102024793,0.01722606459785461,0.016984502316091495,0.02883667372241054,2.648559944587231,COMPLETE
29,0.894,2021-09-02 16:47:47.427165,2021-09-02 16:48:59.516659,0 days 00:01:12.089494,0.4823126819111808,0.004143185516251094,3.310075517850398,0.41099887848567984,0.0039113094633241125,2.444400031810263,COMPLETE
30,1.022,2021-09-02 16:48:59.518660,2021-09-02 16:50:16.180978,0 days 00:01:16.662318,4.780069328654167,0.17061110982102617,0.7422375773262663,0.19277463127374225,0.0022983411105554252,2.7845475752477107,COMPLETE
31,1.719,2021-09-02 16:50:16.182978,2021-09-02 16:51:43.991194,0 days 00:01:27.808216,9.559326470717464,2.2161833605008834,0.7886328586452953,0.00206898096507455,0.0010109006799754227,2.918511481081617,COMPLETE
32,1.406,2021-09-02 16:51:43.992197,2021-09-02 16:53:12.203347,0 days 00:01:28.211150,4.998268426677011,1.71342177193013,0.250705975437422,0.002065892239634357,0.0010445791754823616,2.9337242518521216,COMPLETE
33,1.144,2021-09-02 16:53:12.205347,2021-09-02 16:54:33.668752,0 days 00:01:21.463405,1.5112064259514493,3.4094297050033244,1.615844904928176,0.005426047416848283,0.001965465266589078,2.839357940105916,COMPLETE
34,1.616,2021-09-02 16:54:33.670754,2021-09-02 16:55:50.294378,0 days 00:01:16.623624,9.5448199582371,0.6054010480246235,0.6391165985593577,0.004073075928124896,0.007505580299506372,2.6968959467344282,COMPLETE
35,1.142,2021-09-02 16:55:50.296376,2021-09-02 16:57:07.603718,0 days 00:01:17.307342,5.285163125389041,1.3201075862815763,0.0828660122616647,0.045831983356874474,0.004975097666773979,2.910561372128958,COMPLETE
36,1.425,2021-09-02 16:57:07.605719,2021-09-02 16:58:22.445626,0 days 00:01:14.839907,2.814133620624568,5.309415969594288,0.35705903037606185,0.0016406908685184353,0.001844547757428484,2.5891226174271527,COMPLETE
37,0.838,2021-09-02 16:58:22.446625,2021-09-02 16:59:37.719627,0 days 00:01:15.273002,0.007163487729111744,2.9720084853780064,0.09772529418972364,0.01869323561019117,0.01994576451198208,2.7649055088295436,COMPLETE
38,0.928,2021-09-02 16:59:37.722627,2021-09-02 17:00:53.386815,0 days 00:01:15.664188,0.7953396975346102,0.07018899825761865,2.43178960255155,0.007619314885762533,1.1826236684772617,2.3200006323369204,COMPLETE
39,-0.333,2021-09-02 17:00:53.388814,2021-09-02 17:02:11.922916,0 days 00:01:18.534102,6.766398962886021,0.43243428138439943,5.285806383400849,0.011042677188405138,0.008504417255283184,2.988521109691097,COMPLETE
40,1.531,2021-09-02 17:02:11.923917,2021-09-02 17:03:28.767545,0 days 00:01:16.843628,1.5394698974770444,6.053424142191495,0.018725180089493632,0.08704874417457582,0.1922759931840028,2.852236269922154,COMPLETE
41,1.678,2021-09-02 17:03:28.768546,2021-09-02 17:04:46.832089,0 days 00:01:18.063543,9.925103539499299,1.9051046651780181,0.8921828833259591,0.0018632338151276155,0.0016124310123216167,2.9246650746409673,COMPLETE
42,1.624,2021-09-02 17:04:46.836090,2021-09-02 17:06:04.241972,0 days 00:01:17.405882,3.4965166255372377,2.717665799929965,0.5346463597693095,0.0010026066974625969,0.0010262517893905618,2.884770756338333,COMPLETE
43,1.851,2021-09-02 17:06:04.243975,2021-09-02 17:07:21.966795,0 days 00:01:17.722820,6.331587684033577,1.4141723553087675,1.0027289828246753,0.0032530652742937963,0.0033635192868026356,2.6706576604297605,COMPLETE
44,1.855,2021-09-02 17:07:21.968796,2021-09-02 17:08:40.796923,0 days 00:01:18.828127,6.008376242535658,1.2981975410138664,1.0529130365230857,0.002983751839733296,0.0033912163683465814,2.650051328930309,COMPLETE
45,1.547,2021-09-02 17:08:40.798924,2021-09-02 17:10:01.512788,0 days 00:01:20.713864,6.234995175364217,0.6733724772480003,0.298663027717581,0.0034326927340408092,0.004493299502961945,2.6586326075688165,COMPLETE
46,1.49,2021-09-02 17:10:01.515790,2021-09-02 17:11:34.667313,0 days 00:01:33.151523,1.9552493314635555,1.2770672328136132,1.8431699905190861,0.005662821809176015,0.002995548468775338,2.5886203625316915,COMPLETE
47,1.035,2021-09-02 17:11:34.669314,2021-09-02 17:12:50.944191,0 days 00:01:16.274877,7.037148283297449,0.29141520380593144,0.5695244373269295,0.0023671129032272788,0.001635278875404792,2.5402373930889666,COMPLETE
48,1.084,2021-09-02 17:12:50.946192,2021-09-02 17:14:08.036094,0 days 00:01:17.089902,0.039417606735963694,6.6864230898467865,1.154701312610909,0.00681433141676597,0.030040826452769943,2.711661272721775,COMPLETE
49,0.775,2021-09-02 17:14:08.037091,2021-09-02 17:15:24.888839,0 days 00:01:16.851748,0.004103556955122648,0.024947595337322635,4.442629982539566,0.0015567752538357554,0.07942768568429441,2.4916468102594176,COMPLETE
